ID,d04,d06,d01,d02,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11,Q12,nk03_02,Q13,Q14,Q15,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_08,nk08_01,nk08_06,nk08_03,nk08_04,nk08_05,nk08_05_a,nk09_01,nk09_08,nk09_05,nk09_06,nk09_09,nk09_10,nk10,nk11,Q16,Q17,nkp01_01,nkp01_02,nkp01_03,nkp01_04,nkp15_1,nkp15_2,nkp15_3,nkp15_4,nkp16,Q18,nkp17,nkp06,nkp07_01_01,nkp07_03,nkp07_05_01,nkp07_06,nkp07_08,nkp07_11,nkp07_14,nkd01_11,nkd01_02,nkd01_07,nkd01_12,nkd01_08,nkd01_14,nkd01_09,nkd01_13,Q19_1,Q19_2,Q19_3,Q19_4,Q19,nkd02_06,Q20,nkd04_01,nkd04_02,nkd04_03,nkd04_04,sk22_01,sk22_02,sk22_03,sk22_04,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,fp08_01,fp08_02,fp08_03,fp08_04,fp09_01,fp11,fp12,fp10,fp13,sk09,sk09_a,sk01,sk29_01,sk29_02,sk29_03,sk29_04,sk29_09,sk29_10,sk29_12,Q27,sk18_09,sk23_03,sk17_03,sk31,sk32_07,sk32_08,sk32_09,sk32_12,d12_raw,d07,d09_raw,d08,d10_08_15,d11,d13,d14,d15,wt
1068,6,1,2,32,1,3,3,5,2,2,2,2,1,1,1,1,2,1,1,3,2,2,2,4,2,2,4,4,4,2,2,2,2,2,2,2,2,3,3,4,3,2,1,2,2,2,,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,3,4,4,3,3,3,3,4,3,3,3,2,3,3,2,2,2,3,2,2,4,4,3,2,5,1,1,2,3,3,1,1,2,2,2,2,3,3,2,2,2,2,1,1,2,2,3,3,2,7,2,2,2,1,2,1,1,3,8,5,2,2,2,2,2,2,6,1,4,99,6,3,3,3,6,0.89993030
1069,6,1,2,63,3,1,2,6,3,2,4,3,2,1,1,2,1,2,2,3,5,2,4,5,3,4,5,5,5,4,1,2,3,2,2,2,3,4,4,4,2,2,1,2,2,1,3,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,1,1,3,2,4,3,3,4,3,2,2,3,4,2,3,3,2,3,2,3,3,4,2,3,2,3,3,2,1,3,1,1,3,3,3,1,3,2,2,2,3,4,4,1,2,4,4,1,3,2,1,3,2,2,7,3,1,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,5,2,3,1,11,0.76332363
1070,6,1,1,53,1,3,2,5,3,2,3,3,3,2,1,2,3,2,3,2,1,3,4,5,5,4,5,4,5,3,4,3,4,2,2,3,3,4,4,4,2,1,1,2,2,1,2,1,2,2,3,3,1,2,1,4,2,3,2,2,3,2,2,2,3,4,4,3,3,5,4,1,1,3,4,5,2,3,4,3,2,2,3,5,4,3,2,3,3,1,3,2,4,2,3,3,3,4,3,1,4,4,1,3,3,3,3,3,3,3,2,3,4,4,2,3,4,4,4,3,3,1,3,3,3,7,2,1,2,1,2,2,2,4,2,2,3,2,3,3,3,3,4,1,3,1,6,3,3,2,6,0.70451496
1071,6,1,1,58,1,1,2,3,3,3,3,3,3,3,1,2,2,3,3,3,4,2,2,4,4,4,4,4,4,2,3,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,3,3,3,1,3,4,5,5,3,3,3,4,4,2,2,2,2,2,2,2,3,3,3,3,2,3,3,3,1,3,4,1,4,3,3,1,3,4,2,2,3,3,3,1,2,2,4,4,3,2,1,3,3,4,5,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,6,2,4,98,11,3,3,1,1,0.70451496
1072,6,1,2,56,3,2,4,3,3,2,3,3,3,2,1,3,2,3,2,2,3,2,3,4,5,4,4,4,5,2,1,3,3,2,1,4,4,4,4,4,2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,3,1,3,2,2,3,2,2,3,3,1,4,2,2,3,2,1,1,2,4,4,2,3,3,3,2,2,3,4,4,3,3,3,3,2,3,3,3,2,2,2,3,3,3,1,4,4,1,3,3,3,3,3,3,3,2,3,4,4,2,2,3,3,2,3,3,1,3,3,3,5,2,1,2,1,2,2,1,3,7,3,4,3,3,3,3,3,3,2,3,1,12,99,3,1,11,0.71081322
1073,6,1,1,72,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,3,3,3,3,5,5,5,5,5,5,1,2,2,2,2,2,4,3,3,4,4,4,2,2,2,2,1,2,2,1,2,3,3,1,1,1,2,2,2,2,3,4,4,4,4,4,2,3,2,3,2,2,2,3,2,1,4,3,4,4,4,2,2,3,5,5,5,5,5,5,1,1,2,2,2,2,3,4,4,4,3,3,1,1,2,2,2,1,3,3,3,3,3,3,3,2,2,3,3,1,1,2,2,3,3,3,4,2,3,4,2,2,2,3,4,2,2,3,2,3,2,3,3,12,2,3,1,5,3,3,2,13,0.70947994
1074,6,1,2,46,3,2,5,6,3,2,3,3,2,2,1,3,2,2,2,3,2,2,3,5,4,4,4,3,5,3,2,2,3,2,1,3,3,4,4,4,2,2,2,2,2,1,3,1,1,1,2,1,1,2,1,3,2,2,2,1,3,3,2,3,3,1,2,3,3,5,3,3,4,3,3,3,4,3,4,3,2,3,3,4,3,3,3,2,2,1,3,2,3,3,2,3,3,4,2,1,4,3,1,3,3,4,1,3,2,2,2,3,3,4,1,2,3,4,1,3,3,2,3,3,3,6,3,2,2,2,99,99,99,2,7,5,4,3,3,3,3,4,3,2,4,98,11,3,3,1,6,0.85021224
1075,6,1,1,42,1,2,5,5,2,4,4,1,1,1,2,3,2,2,2,3,5,1,4,5,5,3,3,5,4,1,5,3,4,2,1,4,2,3,3,4,4,2,2,2,2,2,,1,4,1,2,1,2,1,1,2,1,1,1,1,3,2,1,3,2,4,4,1,1,1,1,4,3,2,1,1,3,2,3,2,2,2,3,3,4,4,2,3,4,3,2,2,1,3,3,2,4,5,2,1,1,1,1,2,4,4,3,4,2,2,3,3,4,4,2,2,2,2,1,2,3,1,2,4,4,6,2,2,2,1,2,2,1,3,7,99,3,3,3,3,4,3,6,2,3,1,11,4,4,3,6,0.84092824
1076,6,1,2,54,2,3,3,2,1,1,2,2,2,1,1,2,2,2,1,1,4,2,2,1,1,4,5,5,5,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,4,3,2,3,4,4,2,1,1,2,3,2,3,3,2,2,2,5,5,3,3,3,2,3,3,2,2,2,3,3,2,3,3,2,1,3,1,3,4,4,4,1,3,3,3,2,4,4,4,1,4,4,4,1,3,3,1,1,4,3,7,3,4,2,1,2,1,1,1,1,1,4,3,2,2,4,3,9,2,4,3,7,4,5,6,6,0.71081322
1077,6,1,1,29,1,3,4,5,3,2,4,3,3,2,2,3,2,3,3,3,4,3,3,4,5,5,5,5,5,1,4,3,4,3,1,4,4,4,4,4,4,2,1,2,2,2,,1,1,1,1,1,1,2,1,3,2,3,3,3,3,3,3,3,3,4,3,2,3,3,3,4,2,4,2,3,4,4,4,4,4,4,4,4,3,3,2,3,3,2,2,3,3,3,2,3,3,3,3,2,3,1,3,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,3,2,1,3,3,8,3,3,3,2,3,2,2,4,7,5,2,2,3,3,3,3,6,2,4,3,12,3,4,4,10,0.79447242
1078,6,1,2,24,1,4,4,6,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,1,4,3,4,3,1,3,3,3,3,3,2,2,1,2,2,2,,1,1,1,2,2,2,2,1,3,2,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,2,4,2,3,3,3,3,3,3,3,3,4,3,4,3,2,3,2,2,3,4,3,3,3,3,2,2,1,4,1,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,1,1,3,2,3,3,3,7,3,3,2,2,3,2,2,4,7,5,3,4,3,3,3,3,12,1,4,98,9,3,4,2,2,0.71024711
1079,6,1,2,25,1,3,3,2,3,3,3,2,3,2,3,3,2,2,3,5,1,2,2,4,4,2,4,4,4,1,1,2,3,2,2,4,3,4,4,4,4,2,1,1,2,1,4,1,1,1,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,4,3,2,2,2,2,4,3,1,3,2,3,3,3,3,3,2,2,3,5,5,5,5,5,5,2,2,2,3,4,1,5,4,4,1,4,1,1,2,3,3,3,3,2,2,3,3,3,3,2,3,2,2,2,1,4,2,3,4,3,4,1,2,1,1,3,1,1,1,1,1,4,3,3,3,4,4,10,1,4,3,8,3,4,5,8,0.71024711
1080,6,1,1,70,1,1,2,3,1,2,3,3,2,2,1,2,1,2,2,2,3,2,3,4,3,2,4,5,5,4,2,2,3,2,1,2,2,3,2,3,1,2,2,2,2,1,2,2,2,2,2,3,1,2,2,2,1,2,2,2,2,2,2,3,2,1,3,1,2,2,1,1,1,2,3,2,2,2,4,3,3,2,3,4,5,5,5,5,5,3,1,2,3,2,3,1,2,3,3,1,4,3,1,2,3,3,3,3,3,3,2,3,4,4,2,2,3,3,1,1,3,2,3,2,3,6,2,1,1,1,2,2,1,5,2,2,2,2,2,3,2,2,2,2,2,1,6,3,3,2,6,0.70947994
1081,6,1,1,34,1,5,4,5,2,1,4,2,2,2,1,4,1,2,4,2,3,4,4,5,5,2,5,5,5,1,5,3,4,2,1,2,2,2,2,2,2,2,1,2,2,2,,3,4,4,4,4,4,4,1,3,2,2,2,2,3,3,2,2,3,1,3,3,3,2,3,1,1,2,2,4,3,3,4,4,2,2,3,5,5,4,4,3,3,3,3,3,4,2,2,3,3,3,3,1,4,2,1,3,3,3,1,3,2,2,2,3,4,4,2,2,2,2,2,1,4,2,3,4,2,8,2,3,2,1,2,2,1,5,2,2,3,2,3,3,3,3,3,1,3,98,6,3,3,2,11,0.74887179
1082,6,1,2,45,1,5,3,6,3,3,3,2,1,1,1,3,3,3,3,3,4,3,3,5,5,2,5,5,5,1,5,3,3,3,1,4,4,3,3,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,3,2,3,3,3,3,3,3,3,3,4,4,2,5,5,5,5,5,3,1,4,5,5,5,5,5,5,5,5,3,4,2,2,2,2,2,3,4,3,3,4,1,4,3,1,2,1,1,4,4,3,1,3,2,2,3,3,3,3,1,3,2,3,1,1,3,2,3,3,3,6,2,2,2,1,2,2,2,4,2,2,3,3,3,3,3,3,9,2,4,1,12,2,3,2,10,0.85021224
1083,11,2,2,58,1,2,3,2,2,2,2,1,1,3,2,3,3,2,1,1,1,3,3,4,2,3,3,4,4,2,2,2,3,2,3,4,3,3,4,4,2,2,2,2,2,1,4,1,1,3,3,3,3,2,1,3,3,4,3,1,2,3,1,2,2,1,3,2,2,1,1,4,1,4,2,2,2,2,3,3,2,3,2,3,4,4,3,3,3,2,2,3,3,3,3,3,3,3,3,1,5,4,1,1,3,4,1,1,2,2,2,2,3,3,2,2,3,3,1,3,4,1,3,3,3,7,3,1,1,2,2,2,2,2,2,2,2,2,3,3,4,2,9,2,4,98,9,3,4,2,11,0.92518867
1084,11,2,1,55,1,1,2,1,1,2,2,2,1,3,2,3,3,3,1,1,1,3,3,4,2,3,3,4,5,2,1,2,3,2,2,4,2,2,4,4,2,2,2,2,2,1,2,1,1,3,3,3,3,2,1,3,3,4,2,1,2,3,1,2,2,1,3,1,2,2,2,4,4,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,2,2,2,3,3,3,2,3,3,3,3,1,5,3,1,1,3,4,1,1,2,2,2,2,3,3,2,2,2,2,1,3,4,1,3,3,3,7,3,2,2,2,3,3,3,1,1,2,2,2,2,2,3,2,2,2,3,98,10,3,4,1,11,0.88548798
1085,11,2,2,49,1,3,3,3,2,2,2,2,1,3,2,3,3,2,1,1,1,3,3,3,2,3,3,4,5,2,1,2,3,2,2,4,3,4,4,4,3,2,2,2,2,1,4,1,1,2,3,3,3,1,2,3,3,3,2,1,2,3,2,3,3,1,3,1,1,1,1,3,1,3,2,2,2,3,3,3,2,3,2,4,3,3,2,3,1,1,2,3,3,3,3,3,3,3,3,4,5,2,1,1,2,2,1,1,2,2,2,2,3,3,2,2,2,2,1,3,4,1,1,3,3,6,4,2,1,1,2,1,2,2,4,2,2,2,2,2,3,2,9,2,3,1,8,3,4,1,11,0.95488493
1086,11,2,2,69,1,1,2,1,1,1,2,2,1,3,2,2,2,2,1,2,4,2,3,3,2,2,3,4,5,2,2,2,3,3,2,3,3,3,4,4,2,1,2,2,2,1,3,1,1,3,3,3,3,2,1,3,3,3,2,2,3,3,2,3,3,4,3,1,2,1,1,3,2,3,2,2,2,2,3,3,3,3,3,3,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,1,5,4,1,1,2,3,1,1,2,2,2,3,2,3,2,2,2,2,4,3,3,2,3,3,3,6,3,2,2,2,2,2,2,3,7,5,3,3,3,2,4,3,12,2,3,1,6,4,5,2,11,0.95376766
1087,11,2,2,37,1,3,3,2,2,2,3,3,1,3,2,3,2,2,1,1,1,3,3,3,2,3,4,4,5,3,1,3,3,2,2,4,3,4,4,4,2,2,2,2,2,2,,1,1,2,3,3,3,1,1,2,3,4,3,2,3,3,2,3,3,1,3,2,1,2,2,3,2,3,3,3,3,4,4,4,2,4,3,4,3,3,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,2,1,1,2,3,1,3,3,2,2,2,3,3,1,1,2,2,4,3,4,1,3,3,3,6,3,2,1,2,2,3,3,3,8,5,3,3,4,4,4,4,9,3,3,98,5,5,5,3,11,0.94144129
1088,11,2,1,49,1,2,3,2,2,2,2,3,1,3,2,3,3,2,1,1,1,2,2,2,1,2,3,4,5,3,1,3,3,2,2,3,3,3,4,4,3,2,2,2,2,1,4,1,1,3,3,3,3,1,1,2,3,4,2,2,2,3,1,2,2,1,3,1,2,1,1,4,1,3,1,3,3,4,4,4,2,4,3,4,4,4,3,4,2,2,2,3,4,3,2,3,3,3,3,1,5,4,1,1,2,4,1,1,2,2,2,2,3,3,2,2,2,2,4,3,3,1,1,3,3,7,3,2,1,2,2,3,2,1,1,1,3,3,3,3,4,4,2,2,3,1,8,4,4,2,11,0.92685575
1089,11,2,1,62,1,1,2,1,1,1,2,3,1,3,2,3,2,2,1,2,4,3,2,3,2,1,3,4,5,2,2,2,3,2,3,3,3,3,4,4,3,2,2,1,2,1,2,2,2,3,3,3,3,3,2,3,3,3,2,1,3,3,1,3,3,4,3,2,2,2,2,4,1,3,2,2,2,2,3,3,2,2,2,4,4,4,3,4,2,1,2,3,3,99,2,4,2,2,2,1,5,4,1,2,2,3,1,1,2,2,3,3,3,3,2,2,2,2,1,3,4,1,3,3,3,6,3,1,2,2,2,4,3,4,1,1,3,3,3,2,4,3,4,2,3,98,8,4,4,2,11,0.93959698
1090,11,2,1,39,1,3,3,2,2,2,2,3,1,3,2,3,3,2,1,1,1,3,3,4,2,3,3,4,4,2,1,3,3,2,2,4,3,4,4,4,3,2,2,2,2,1,4,2,2,3,3,3,3,2,1,3,3,3,2,1,3,3,2,3,3,1,3,1,2,2,2,3,1,3,2,3,3,4,4,4,2,4,2,4,3,3,2,2,2,1,2,3,4,2,2,4,2,3,2,1,5,4,1,1,2,4,1,1,2,2,2,2,3,3,2,2,2,2,4,3,3,2,3,3,4,6,3,1,1,1,2,3,3,3,7,5,3,3,3,3,4,4,1,2,3,98,8,4,4,2,11,0.93132231
1091,11,2,1,26,1,3,3,3,2,2,2,3,1,2,2,3,2,2,1,3,1,3,3,3,2,3,3,4,5,3,2,3,3,2,2,4,3,4,4,4,3,2,2,2,2,1,4,2,1,2,3,3,3,2,1,3,3,3,2,2,3,3,2,3,2,4,3,2,2,2,2,3,2,3,2,2,2,3,3,3,2,3,2,4,3,3,3,2,1,1,2,3,3,3,2,3,3,3,3,1,3,2,1,1,2,3,1,3,3,2,2,2,3,3,2,2,2,2,4,3,3,1,3,3,3,7,3,2,1,2,2,2,2,3,7,99,3,3,3,3,4,3,5,1,3,98,8,4,4,2,11,0.91773493
1092,11,2,2,22,1,3,3,3,2,2,3,3,2,2,1,3,3,2,2,3,3,3,3,2,2,3,3,3,4,2,1,3,3,2,2,4,3,4,4,4,3,2,2,2,2,1,4,2,1,2,2,3,2,1,1,2,2,3,2,2,3,3,2,3,2,4,3,2,2,2,2,3,2,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,1,1,2,3,3,3,3,3,3,3,2,1,5,4,1,1,2,3,1,1,2,2,2,2,3,3,1,1,2,2,2,3,3,1,1,3,3,6,3,2,2,2,2,2,2,2,4,2,2,3,3,2,3,2,6,1,3,98,8,4,4,2,11,0.90331893
1093,11,3,2,62,1,1,2,6,2,1,2,2,2,1,1,2,1,2,1,1,1,2,3,4,4,4,3,4,5,2,2,2,4,3,2,4,2,3,4,4,3,2,2,2,2,2,,1,1,2,1,2,2,1,1,3,1,3,2,2,3,3,2,2,2,2,2,2,2,3,2,3,3,4,3,3,3,4,4,4,3,4,4,5,4,3,2,2,2,2,1,3,2,2,2,3,2,3,2,1,4,4,1,3,3,3,1,2,2,2,1,3,4,3,1,1,1,1,2,1,2,1,1,3,3,7,2,2,2,2,2,3,1,2,7,1,4,3,3,3,4,4,3,2,3,1,6,4,4,3,11,0.95376766
1094,11,3,1,29,1,3,3,2,1,1,2,3,2,3,3,4,4,3,2,5,5,2,2,2,1,1,3,4,5,3,2,2,3,3,3,4,3,3,4,4,3,2,2,2,2,1,2,1,2,3,3,3,2,3,1,3,3,3,2,1,4,3,2,3,3,4,3,3,2,2,1,4,1,3,3,2,2,2,3,2,3,3,3,3,4,4,3,3,2,2,1,2,2,3,2,3,3,4,2,1,4,1,1,2,2,3,1,1,3,2,3,3,3,3,1,1,1,1,1,3,3,2,3,3,3,7,3,2,1,1,2,4,3,2,1,1,3,3,3,2,4,3,3,1,3,98,9,4,4,2,11,0.91773493
1095,11,3,2,29,1,2,4,3,2,2,2,3,2,2,2,2,3,2,1,3,3,3,3,3,2,3,3,3,4,2,2,2,2,3,3,4,3,3,4,4,2,2,2,2,2,2,,1,1,2,2,3,2,2,1,3,2,3,2,2,3,3,2,3,3,4,4,2,2,2,2,4,1,4,2,2,2,3,3,3,2,3,3,3,4,4,3,3,3,2,2,2,3,4,2,3,3,4,2,1,4,4,1,2,2,4,1,3,3,2,2,3,3,4,1,2,1,1,1,3,3,1,3,3,3,7,2,2,2,2,3,3,3,1,7,5,3,3,2,2,4,3,3,2,3,1,10,4,4,2,11,0.90331893
1096,11,3,1,53,1,2,2,2,3,3,2,3,1,3,2,4,3,1,1,2,1,2,2,1,1,2,3,4,4,3,1,2,3,2,3,4,2,2,4,4,2,2,2,1,2,1,2,1,1,3,3,3,3,2,1,3,3,3,2,1,2,3,1,3,3,1,3,2,2,1,1,4,1,4,2,2,2,2,3,3,3,3,3,3,4,4,3,4,2,2,2,2,3,3,3,2,3,3,3,1,5,3,1,1,2,3,1,1,2,2,3,3,4,4,1,1,2,2,1,3,4,2,3,2,3,8,2,1,1,2,3,1,3,3,1,1,3,3,3,2,4,3,3,1,3,98,6,4,4,2,11,0.88548798
1097,11,3,2,56,1,2,3,2,2,2,2,3,2,3,3,3,3,2,1,3,1,2,2,2,1,2,3,3,4,3,2,2,3,2,3,4,3,3,4,4,2,2,2,1,2,1,2,1,2,3,3,3,2,2,1,3,3,3,2,1,3,3,1,3,3,1,3,2,2,1,1,4,1,4,2,2,1,2,3,3,2,2,2,3,4,4,3,3,2,2,1,2,2,4,3,2,3,4,3,1,5,3,1,1,2,3,1,1,2,2,3,3,3,3,2,2,2,2,4,3,3,2,3,3,3,7,2,1,1,2,3,1,3,2,6,5,3,3,2,2,4,3,3,2,3,98,11,3,3,1,11,0.92518867
1098,11,3,1,62,1,2,3,2,1,1,2,3,1,3,2,3,3,2,1,1,1,2,2,1,1,2,3,4,5,3,1,2,3,2,3,4,2,4,4,4,2,2,2,1,2,1,2,1,1,3,3,3,3,2,1,2,3,2,1,1,2,3,1,3,1,1,3,1,1,1,1,5,1,4,2,2,1,1,3,3,2,2,2,3,5,5,3,4,3,2,2,2,3,3,2,2,3,3,3,1,5,4,1,1,2,4,1,1,2,2,2,2,2,3,2,2,2,2,1,3,3,2,3,2,2,7,2,1,1,2,3,4,3,3,4,2,2,3,3,2,4,3,1,2,3,98,8,4,4,1,11,0.93959698
1099,11,3,2,68,1,1,2,2,1,1,2,1,1,3,2,3,3,2,1,1,1,2,3,3,2,2,3,4,4,1,1,2,3,2,2,4,2,4,4,4,2,2,2,2,2,1,3,2,1,3,3,3,3,2,2,3,3,2,1,1,2,3,1,2,2,1,3,1,1,1,1,4,1,2,2,2,2,2,3,3,2,2,2,3,4,4,3,4,2,2,2,3,3,3,3,3,3,3,3,1,5,1,1,1,2,3,1,1,2,2,2,2,3,3,1,1,2,3,1,1,3,2,1,2,3,7,3,2,1,1,3,2,2,4,1,1,3,3,3,2,4,3,1,2,2,98,7,4,4,1,11,0.95376766
1100,11,3,1,39,1,1,1,1,1,1,2,3,2,3,3,3,3,2,1,3,1,2,2,2,1,2,3,3,3,3,2,2,2,2,3,4,3,3,4,4,2,2,2,1,2,1,2,1,2,3,3,3,2,2,2,3,3,3,2,1,3,3,1,3,3,1,3,2,2,1,1,3,4,4,3,2,2,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,3,3,3,3,4,4,3,1,5,3,1,2,1,3,1,3,3,2,3,3,3,4,2,3,4,4,4,3,3,1,3,3,3,8,2,2,1,1,3,1,3,3,4,2,2,3,2,2,4,3,4,2,3,1,9,4,4,2,11,0.93132231
1101,11,3,2,34,2,2,3,2,2,2,3,3,2,3,2,3,3,2,2,3,1,3,2,2,1,2,3,3,4,3,2,2,3,3,2,4,3,4,4,4,2,2,2,1,2,1,3,1,2,3,3,3,2,2,2,3,3,3,2,1,3,3,1,2,2,4,3,2,2,2,2,4,4,4,2,2,2,3,3,3,2,2,2,3,4,4,3,3,2,2,2,3,3,4,2,3,4,4,3,1,5,4,1,1,1,3,1,1,4,2,2,3,3,4,2,2,2,3,4,3,3,2,3,2,3,7,2,1,2,2,2,3,3,3,8,5,3,3,2,2,3,3,6,3,4,2,10,3,3,2,11,0.94144129
1102,11,3,1,49,1,3,3,3,2,2,3,3,2,3,3,3,3,1,1,2,2,3,3,2,2,2,3,3,4,3,2,2,2,2,2,4,2,4,4,4,2,2,2,1,2,1,2,1,1,3,3,3,2,2,2,3,4,4,2,1,3,4,2,3,3,4,3,2,1,1,1,4,1,3,2,2,1,2,3,3,2,2,2,3,4,4,3,4,2,2,1,2,2,3,3,2,3,3,3,1,5,3,1,1,2,2,1,1,2,2,2,2,3,3,1,1,1,1,4,3,3,2,3,3,3,7,2,1,2,1,2,1,2,3,8,5,2,3,2,2,4,3,3,1,4,2,9,3,4,2,11,0.92685575
1103,11,3,1,49,2,2,2,1,2,1,2,3,1,3,2,3,3,2,1,2,1,3,2,2,1,2,3,3,5,3,2,2,3,2,2,4,3,4,4,4,2,2,2,2,2,1,3,1,2,3,3,3,2,2,2,3,3,3,2,1,3,3,1,3,2,1,3,2,2,1,1,4,2,3,2,2,2,2,3,3,3,3,2,3,4,4,3,3,2,2,1,2,2,3,3,2,3,3,3,1,5,1,1,1,2,3,1,1,2,2,2,3,3,3,1,2,2,2,1,3,3,2,3,3,3,7,2,1,1,2,3,4,2,3,7,5,2,3,2,2,4,3,3,1,3,2,9,4,4,2,11,0.92685575
1104,11,3,2,47,1,2,3,2,2,2,2,2,2,3,3,3,3,1,1,1,1,3,3,2,1,2,3,3,4,3,2,2,2,2,3,4,3,4,4,4,2,2,2,1,2,1,2,2,2,3,3,3,2,2,1,3,3,3,3,1,3,3,1,3,2,1,3,2,2,1,1,4,1,4,2,2,2,2,3,3,3,3,3,3,4,4,3,3,2,2,2,2,3,3,2,3,3,3,2,1,5,4,1,1,3,4,1,1,2,2,2,3,3,4,1,2,2,2,1,3,3,2,1,3,3,7,2,1,1,2,3,4,3,3,2,2,2,3,2,2,4,3,6,2,4,98,9,3,4,2,11,0.95488493
1105,11,2,1,56,3,2,2,4,2,2,3,2,2,2,2,2,2,2,2,1,4,2,2,4,2,2,4,2,2,1,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,3,3,1,2,2,3,3,3,4,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99,3,2,3,2,4,4,2,2,1,4,4,1,2,4,3,1,3,3,4,2,2,3,3,2,2,3,3,1,1,3,2,1,2,2,7,2,3,2,2,3,3,2,3,1,1,2,2,2,2,2,2,5,2,4,98,8,4,4,2,11,0.88548798
1106,11,2,1,48,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,1,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,3,1,3,2,2,2,3,3,3,3,4,2,3,4,4,4,2,3,3,3,4,4,3,2,3,3,99,2,2,3,2,4,4,3,2,1,4,4,1,1,3,3,1,1,4,3,2,2,4,4,2,3,4,4,1,1,2,2,1,2,2,7,2,3,2,2,2,3,2,2,1,1,3,3,2,2,2,2,4,2,4,2,9,3,4,2,15,0.92685575
1107,11,2,1,72,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,3,3,3,4,4,4,3,2,2,2,2,2,,3,3,3,3,3,3,3,2,1,2,1,1,1,4,1,1,1,4,1,3,1,4,1,1,5,2,1,3,1,1,3,3,2,2,4,5,3,5,5,5,5,5,5,99,1,1,1,1,3,3,3,3,1,2,4,1,4,2,2,1,4,3,3,1,4,3,3,1,3,3,3,2,1,4,2,1,2,2,8,2,4,4,3,1,4,2,4,2,2,2,1,1,1,1,1,12,2,1,1,3,4,5,1,99,0.93959698
1108,11,2,1,60,3,4,3,6,3,2,2,3,2,2,2,3,3,3,3,2,2,3,3,5,5,4,5,5,5,1,4,3,4,4,1,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,3,4,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,2,4,4,2,2,1,1,4,3,3,4,4,4,4,5,5,4,3,2,2,4,1,2,2,3,2,2,3,2,3,3,1,4,1,1,3,3,3,1,3,2,2,3,3,3,3,2,2,2,2,4,3,3,2,3,3,3,5,2,2,2,1,2,3,2,4,2,2,3,3,3,3,3,3,5,3,4,98,9,4,5,4,11,0.93959698
1109,11,2,1,71,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,2,4,4,3,3,2,2,2,2,2,,1,2,2,2,2,2,3,2,1,1,1,1,1,4,1,1,1,4,1,1,1,2,1,1,5,3,2,3,1,1,4,4,4,2,4,5,4,4,4,4,4,4,4,1,2,2,3,2,4,4,2,2,1,4,4,1,3,3,3,1,3,2,3,2,2,4,4,2,3,3,4,2,1,3,2,1,2,2,9,2,4,3,2,2,3,2,4,2,2,1,1,1,1,1,1,12,2,1,1,3,4,5,1,99,0.93959698
